Date,RH,warnings
2022-02-02 23:15:00,70.06393,0.0
2022-02-02 23:30:00,70.53069,0.0
2022-02-02 23:45:00,70.13853,0.0
2022-02-03 00:00:00,71.2996,0.0
2022-02-03 00:15:00,72.85178,0.0
2022-02-03 00:30:00,73.62949,0.0
2022-02-03 00:45:00,74.6756,0.0
2022-02-03 01:00:00,75.29704,0.0
2022-02-03 01:15:00,75.12592,0.0
2022-02-03 01:30:00,76.62783,0.0
2022-02-03 01:45:00,77.34748,0.0
2022-02-03 02:00:00,77.22823,0.0
2022-02-03 02:15:00,77.27357,0.0
2022-02-03 02:30:00,77.4904,0.0
2022-02-03 02:45:00,77.61131,0.0
2022-02-03 03:00:00,78.71492,0.0
2022-02-03 03:15:00,78.82293,0.0
2022-02-03 03:30:00,79.0127,0.0
2022-02-03 03:45:00,80.38268,0.0
2022-02-03 04:00:00,78.93031,0.0
2022-02-03 04:15:00,79.31619,0.0
2022-02-03 04:30:00,79.57281,0.0
2022-02-03 04:45:00,78.53837,0.0
2022-02-03 05:00:00,78.80884,0.0
2022-02-03 05:15:00,78.80431,0.0
2022-02-03 05:30:00,78.91367,0.0
2022-02-03 05:45:00,77.87762,0.0
2022-02-03 06:00:00,77.59253,0.0
2022-02-03 06:15:00,76.66657,0.0
2022-02-03 06:30:00,75.60126,0.0
2022-02-03 06:45:00,74.77251,0.0
2022-02-03 07:00:00,73.66104,0.0
2022-02-03 07:15:00,71.96693,0.0
2022-02-03 07:30:00,72.15298,0.0
2022-02-03 07:45:00,72.63477,0.0
2022-02-03 08:00:00,72.6997,0.0
2022-02-03 08:15:00,70.48344,0.0
2022-02-03 08:30:00,69.32787,0.0
2022-02-03 08:45:00,66.89066,0.0
2022-02-03 09:00:00,67.02051,0.0
2022-02-03 09:15:00,67.27936,0.0
2022-02-03 09:30:00,65.58081,0.0
2022-02-03 09:45:00,62.32799,0.0
2022-02-03 10:00:00,61.80892,0.0
2022-02-03 10:15:00,59.79681,0.0
2022-02-03 10:30:00,58.76983,0.0
2022-02-03 10:45:00,57.5816,0.0
2022-02-03 11:00:00,57.30775,0.0
2022-02-03 11:15:00,52.50073,0.0
2022-02-03 11:30:00,57.51305,0.0
2022-02-03 11:45:00,54.33583,0.0
2022-02-03 12:00:00,53.89415,0.0
2022-02-03 12:15:00,54.93262,0.0
2022-02-03 12:30:00,52.18595,0.0
2022-02-03 12:45:00,52.89553,0.0
2022-02-03 13:00:00,52.21441,0.0
2022-02-03 13:15:00,52.69595,0.0
2022-02-03 13:30:00,50.61083,0.0
2022-02-03 13:45:00,52.76021,0.0
2022-02-03 14:00:00,51.33659,0.0
2022-02-03 14:15:00,51.59618,0.0
2022-02-03 14:30:00,50.63262,0.0
2022-02-03 14:45:00,48.94256,0.0
2022-02-03 15:00:00,50.43041,0.0
2022-02-03 15:15:00,48.20112,0.0
2022-02-03 15:30:00,52.76339,0.0
2022-02-03 15:45:00,57.55901,0.0
2022-02-03 16:00:00,59.06049,0.0
